Produto,Categoria do Produto,Preço,Frete,Data da Compra,Vendedor,Local da compra,Avaliação da compra,Tipo de pagamento,Quantidade de parcelas,lat,lon
Cadeira de escritório,moveis,378.2,20.4211381304,04/08/2021,Thiago Silva,MG,1,boleto,1,-18.1,-44.38
Pandeiro,instrumentos musicais,102.37,3.0353335961,26/11/2020,Bianca Santos,RJ,3,cartao_credito,4,-22.25,-42.66
Cama king,moveis,591.13,31.759020051,22/10/2021,Thiago Silva,SC,5,cartao_credito,10,-27.45,-50.95
Cama king,moveis,1208.24,61.9195841927,04/05/2022,Larissa Alves,RS,5,cartao_credito,10,-30.17,-53.5
Cadeira de escritório,moveis,530.41,25.827175879,26/02/2022,Lucas Oliveira,SP,4,cartao_credito,3,-22.19,-48.79
Violão,instrumentos musicais,397.84,21.4669090454,10/09/2021,Beatriz Moraes,MT,5,cartao_credito,3,-12.64,-55.42
Mochila,esporte e lazer,141.24,12.0006438049,10/06/2020,Bianca Santos,SP,1,cupom,1,-22.19,-48.79
Tablet ABXY,eletronicos,1283.53,65.92855019,12/04/2022,Juliana Costa,RJ,4,boleto,1,-22.25,-42.66
Panela de pressão,utilidades domesticas,110.4,6.4095723974,11/04/2022,Thiago Silva,BA,5,boleto,1,-13.29,-41.71
Cubo mágico 8x8,brinquedos,12.09,5.1237948402,04/09/2021,Camila Ribeiro,SP,5,cartao_credito,1,-22.19,-48.79
Mochila,esporte e lazer,115.7,12.4026123143,18/04/2020,Thiago Silva,MG,5,cartao_credito,5,-18.1,-44.38
Secadora de roupas,eletrodomesticos,1171.84,62.6800805409,25/09/2021,Rafael Costa,BA,1,cartao_credito,2,-13.29,-41.71
Jogo de tabuleiro,brinquedos,203.95,11.7995717682,13/09/2022,Rafael Costa,GO,4,cartao_credito,10,-15.98,-49.86
Xadrez de madeira,brinquedos,48.44,3.1103887981,10/12/2022,Isabella Pereira,MG,5,boleto,1,-18.1,-44.38
Bicicleta,esporte e lazer,685.12,42.7225142691,11/11/2021,Juliana Costa,RS,4,cartao_credito,2,-30.17,-53.5
Bicicleta,esporte e lazer,713.68,35.5857520288,18/11/2022,Bianca Santos,SP,4,cartao_credito,1,-22.19,-48.79
Modelagem preditiva,livros,109.17,6.7013892476,31/08/2021,Felipe Santos,MG,3,cartao_credito,3,-18.1,-44.38
Cadeira de escritório,moveis,675.74,44.0587699946,24/09/2022,Pedro Gomes,SP,5,cartao_credito,2,-22.19,-48.79
Dashboards com Power BI,livros,42.15,0.0,27/06/2020,Camila Ribeiro,MG,5,boleto,1,-18.1,-44.38
Corda de pular,esporte e lazer,13.65,1.2579259604,01/01/2020,Camila Ribeiro,RJ,4,boleto,1,-22.25,-42.66
Jogo de copos,utilidades domesticas,58.17,0.0,29/03/2023,Larissa Alves,RS,1,boleto,1,-30.17,-53.5
Boneca bebê,brinquedos,78.89,1.7850942334,20/11/2020,Juliana Costa,PA,3,boleto,1,-3.79,-52.48
Ciência de dados com python,livros,59.81,0.0,13/08/2020,Bruno Rodrigues,SP,5,boleto,1,-22.19,-48.79
Lava louças,eletrodomesticos,2093.07,111.7328066092,28/03/2020,Pedro Gomes,SP,5,cartao_credito,2,-22.19,-48.79
Blocos de montar,brinquedos,32.69,2.4276563058,14/10/2022,Mariana Ferreira,RJ,5,cartao_credito,1,-22.25,-42.66
Corda de pular,esporte e lazer,19.01,1.5433298354,26/03/2021,Bruno Rodrigues,MG,3,cartao_credito,5,-18.1,-44.38
Copo térmico,esporte e lazer,57.09,0.0,30/07/2021,Beatriz Moraes,RJ,5,cupom,1,-22.25,-42.66
Faqueiro,utilidades domesticas,69.47,3.9821944149,25/08/2021,Pedro Gomes,BA,5,cartao_credito,3,-13.29,-41.71
Fogão,eletrodomesticos,722.78,36.0702996524,23/09/2021,Thiago Silva,SP,5,cartao_credito,4,-22.19,-48.79
Jogo de panelas,utilidades domesticas,165.24,9.4855450419,11/09/2020,Beatriz Moraes,SP,5,cartao_credito,1,-22.19,-48.79
TV Led UHD 4K,eletronicos,3546.49,189.1230491351,09/04/2021,Camila Ribeiro,RS,5,cartao_credito,1,-30.17,-53.5
Boneca bebê,brinquedos,65.9,1.0934158126,03/12/2021,Beatriz Moraes,SC,1,boleto,1,-27.45,-50.95
Poltrona,moveis,257.81,20.1072212686,15/01/2023,Camila Ribeiro,SP,5,boleto,1,-22.19,-48.79
Boneca bebê,brinquedos,50.63,0.0,05/05/2020,João Souza,SP,3,cartao_credito,2,-22.19,-48.79
Guitarra,instrumentos musicais,1284.87,65.9999011587,28/05/2021,Thiago Silva,MG,4,cartao_credito,2,-18.1,-44.38
Headset,eletronicos,191.68,7.7908224156,20/09/2022,Felipe Santos,RJ,1,cartao_credito,2,-22.25,-42.66
Modelagem preditiva,livros,97.44,2.7728259275,07/07/2020,Bruno Rodrigues,RS,1,boleto,1,-30.17,-53.5
Dinossauro Rex,brinquedos,22.62,2.0928621249,25/07/2020,Thiago Silva,BA,1,cartao_credito,1,-13.29,-41.71
Bicicleta,esporte e lazer,803.49,43.0665511864,23/07/2021,João Souza,SP,5,cartao_credito,2,-22.19,-48.79
Smart TV,eletronicos,2205.06,114.9972503557,29/05/2021,Bianca Santos,RS,5,cartao_credito,6,-30.17,-53.5
Fogão,eletrodomesticos,1289.92,66.2687984663,17/01/2023,Bruno Rodrigues,SP,5,cartao_credito,4,-22.19,-48.79
Guarda roupas,moveis,604.0,33.0495980992,03/06/2022,Lucas Oliveira,SP,1,cartao_credito,1,-22.19,-48.79
Guarda roupas,moveis,609.49,32.9846134332,22/03/2022,Thiago Silva,ES,4,boleto,1,-19.19,-40.34
Smart TV,eletronicos,1580.06,85.0218567166,18/02/2022,Beatriz Moraes,RS,4,cartao_credito,4,-30.17,-53.5
Cadeira de escritório,moveis,699.73,34.8429564961,09/03/2021,Rafael Costa,SP,1,cartao_credito,1,-22.19,-48.79
Geladeira,eletrodomesticos,2423.51,129.9330317785,30/08/2022,Isabella Pereira,SP,3,cartao_credito,4,-22.19,-48.79
Pandeiro,instrumentos musicais,42.86,0.0,27/09/2021,Thiago Silva,GO,5,cartao_credito,1,-15.98,-49.86
Jogo de panelas,utilidades domesticas,159.04,8.9995060686,17/01/2023,Beatriz Moraes,SP,5,cartao_credito,1,-22.19,-48.79
Mesa de centro,moveis,222.39,9.4260375275,29/06/2021,Pedro Gomes,SP,1,boleto,1,-22.19,-48.79
Lavadora de roupas,eletrodomesticos,2086.95,112.0122242869,07/04/2021,Felipe Santos,SP,5,cartao_credito,4,-22.19,-48.79
